
   Bytes sent (11545769)   |   Avg RTT (ms)   |   Estimated RTT (ms)   |   Avg Bandwidth (KB/s)   |   Estimated Bandwidth (KB/s)   
           1024         |       0.03       |              0.06        |            33792.00        |               18251.97   
           1024         |       0.03       |              0.05        |            34133.33        |               20859.39   
           1024         |       0.03       |              0.04        |            34474.67        |               23839.30   
           1024         |       0.03       |              0.04        |            34816.00        |               27244.92   
           1024         |       0.03       |              0.03        |            35157.33        |               31137.05   
           1024         |       0.04       |              0.15        |            26624.00        |                6659.04   
           1024         |       0.04       |              0.13        |            26880.00        |                7610.33   
           1024         |       0.04       |              0.12        |            27136.00        |                8697.52   
           1024         |       0.04       |              0.10        |            27392.00        |                9940.02   
           1024         |       0.04       |              0.09        |            27648.00        |               11360.02   
           1024         |       0.04       |              0.08        |            27904.00        |               12982.88   
           1024         |       0.04       |              0.07        |            28160.00        |               14837.58   
           1024         |       0.04       |              0.06        |            28416.00        |               16957.23   
           1024         |       0.04       |              0.05        |            28672.00        |               19379.70   
           1024         |       0.04       |              0.05        |            28928.00        |               22148.22   
           1024         |       0.04       |              0.17        |            23347.20        |                6189.00   
           1024         |       0.04       |              0.14        |            23552.00        |                7073.15   
           1024         |       0.04       |              0.13        |            23756.80        |                8083.60   
           1024         |       0.04       |              0.11        |            23961.60        |                9238.40   
           1024         |       0.04       |              0.10        |            24166.40        |               10558.17   
           1024         |       0.04       |              0.08        |            24371.20        |               12066.48   
           1024         |       0.04       |              0.07        |            24576.00        |               13790.26   
           1024         |       0.04       |              0.06        |            24780.80        |               15760.30   
           1024         |       0.05       |              0.18        |            20821.33        |                5630.96   
           1024         |       0.05       |              0.16        |            20992.00        |                6435.38   
           1024         |       0.05       |              0.14        |            21162.67        |                7354.73   
           1024         |       0.05       |              0.12        |            21333.33        |                8405.40   
           1024         |       0.05       |              0.11        |            21504.00        |                9606.17   
           1024         |       0.05       |              0.09        |            21674.67        |               10978.48   
           1024         |       0.05       |              0.08        |            21845.33        |               12546.84   
           1024         |       0.05       |              0.07        |            22016.00        |               14339.24   
           1024         |       0.05       |              0.06        |            22186.67        |               16387.70   
           1024         |       0.05       |              0.05        |            22357.33        |               18728.81   
           1024         |       0.05       |              0.05        |            22528.00        |               21404.35   
           1024         |       0.04       |              0.04        |            22698.67        |               24462.11   
           1024         |       0.04       |              0.04        |            22869.33        |               27956.70   
           1024         |       0.04       |              0.03        |            23040.00        |               31950.52   
           1024         |       0.04       |              0.03        |            23210.67        |               36514.87   
           1024         |       0.04       |              0.02        |            23381.33        |               41731.29   
           1024         |       0.04       |              0.02        |            23552.00        |               47692.90   
           1024         |       0.04       |              0.02        |            23722.67        |               54506.17   
           1024         |       0.04       |              0.02        |            23893.33        |               62292.76   
           1024         |       0.04       |              0.01        |            24064.00        |               71191.73   
           1024         |       0.04       |              0.01        |            24234.67        |               81361.98   
           1024         |       0.04       |              0.01        |            24405.33        |               92985.12   
           1024         |       0.04       |              0.01        |            24576.00        |              106268.71   
           1024         |       0.04       |              0.01        |            24746.67        |              121449.95   
           1024         |       0.04       |              0.01        |            24917.33        |              138799.94   
           1024         |       0.05       |              0.13        |            21504.00        |                7789.72   
           1024         |       0.05       |              0.12        |            21650.29        |                8902.54   
           1024         |       0.05       |              0.10        |            21796.57        |               10174.33   
           1024         |       0.05       |              0.09        |            21942.86        |               11627.80   
           1024         |       0.05       |              0.08        |            22089.14        |               13288.92   
           1024         |       0.05       |              0.07        |            22235.43        |               15187.33   
           1024         |       0.05       |              0.06        |            22381.71        |               17356.95   
           1024         |       0.05       |              0.05        |            22528.00        |               19836.51   
           1024         |       0.04       |              0.05        |            22674.29        |               22670.30   
           1024         |       0.05       |              0.16        |            19968.00        |                6224.05   
           1024         |       0.05       |              0.14        |            20096.00        |                7113.20   
           1024         |       0.05       |              0.13        |            20224.00        |                8129.37   
           1024         |       0.06       |              0.24        |            18090.67        |                4353.42   
           1024         |       0.06       |              0.21        |            18204.44        |                4975.33   
           1024         |       0.06       |              0.18        |            18318.22        |                5686.09   
           1024         |       0.06       |              0.16        |            18432.00        |                6498.39   
           1024         |       0.05       |              0.14        |            18545.78        |                7426.73   
           1024         |       0.05       |              0.12        |            18659.56        |                8487.70   
           1024         |       0.05       |              0.11        |            18773.33        |                9700.23   
           1024         |       0.05       |              0.09        |            18887.11        |               11085.97   
           1024         |       0.05       |              0.08        |            19000.89        |               12669.68   
           1024         |       0.05       |              0.07        |            19114.67        |               14479.64   
           1024         |       0.05       |              0.06        |            19228.44        |               16548.16   
           1024         |       0.05       |              0.05        |            19342.22        |               18912.18   
           1024         |       0.05       |              0.05        |            19456.00        |               21613.92   
           1024         |       0.05       |              0.04        |            19569.78        |               24701.62   
           1024         |       0.05       |              0.04        |            19683.56        |               28230.42   
           1024         |       0.05       |              0.03        |            19797.33        |               32263.34   
           1024         |       0.05       |              0.03        |            19911.11        |               36872.39   
           1024         |       0.05       |              0.02        |            20024.89        |               42139.87   
           1024         |       0.05       |              0.02        |            20138.67        |               48159.86   
           1024         |       0.05       |              0.02        |            20252.44        |               55039.84   
           1024         |       0.05       |              0.02        |            20366.22        |               62902.67   
           1024         |       0.05       |              0.01        |            20480.00        |               71888.76   
           1024         |       0.05       |              0.01        |            20593.78        |               82158.59   
           1024         |       0.05       |              0.01        |            20707.56        |               93895.53   
           1024         |       0.05       |              0.01        |            20821.33        |              107309.18   
           1024         |       0.05       |              0.01        |            20935.11        |              122639.06   
           1024         |       0.05       |              0.01        |            21048.89        |              140158.92   
           1024         |       0.05       |              0.01        |            21162.67        |              160181.63   
           1024         |       0.05       |              0.01        |            21276.44        |              183064.72   
           1024         |       0.05       |              0.00        |            21390.22        |              209216.82   
           1024         |       0.05       |              0.00        |            21504.00        |              239104.94   
           1024         |       0.05       |              0.00        |            21617.78        |              273262.78   
