
   Bytes sent (167544)   |   Avg RTT (ms)   |   Estimated RTT (ms)   |   Avg Bandwidth (KB/s)   |   Estimated Bandwidth (KB/s)   
           1024         |       0.09       |              0.20        |            11377.78        |                5234.73   
           1024         |       0.09       |              0.17        |            11491.56        |                5982.55   
           1024         |       0.09       |              0.15        |            11605.33        |                6837.20   
           1024         |       0.09       |              0.13        |            11719.11        |                7813.94   
           1024         |       0.10       |              0.24        |            10649.60        |                4272.60   
           1024         |       0.09       |              0.21        |            10752.00        |                4882.97   
           1024         |       0.09       |              0.18        |            10854.40        |                5580.54   
           1024         |       0.09       |              0.16        |            10956.80        |                6377.76   
           1024         |       0.09       |              0.14        |            11059.20        |                7288.86   
           1024         |       0.09       |              0.12        |            11161.60        |                8330.13   
           1024         |       0.09       |              0.11        |            11264.00        |                9520.15   
           1024         |       0.09       |              0.09        |            11366.40        |               10880.17   
           1024         |       0.09       |              0.08        |            11468.80        |               12434.48   
           1024         |       0.09       |              0.07        |            11571.20        |               14210.83   
           1024         |       0.09       |              0.06        |            11673.60        |               16240.95   
           1024         |       0.09       |              0.06        |            11776.00        |               18561.09   
           1024         |       0.09       |              0.05        |            11878.40        |               21212.67   
           1024         |       0.08       |              0.04        |            11980.80        |               24243.06   
           1024         |       0.08       |              0.04        |            12083.20        |               27706.35   
           1024         |       0.08       |              0.03        |            12185.60        |               31664.40   
           1024         |       0.08       |              0.03        |            12288.00        |               36187.89   
           1024         |       0.08       |              0.02        |            12390.40        |               41357.58   
           1024         |       0.08       |              0.02        |            12492.80        |               47265.81   
           1024         |       0.08       |              0.02        |            12595.20        |               54018.07   
           1024         |       0.08       |              0.02        |            12697.60        |               61734.94   
           1024         |       0.08       |              0.01        |            12800.00        |               70554.21   
           1024         |       0.08       |              0.01        |            12902.40        |               80633.39   
           1024         |       0.08       |              0.01        |            13004.80        |               92152.44   
           1024         |       0.08       |              0.01        |            13107.20        |              105317.08   
           1024         |       0.08       |              0.01        |            13209.60        |              120362.37   
           1024         |       0.08       |              0.01        |            13312.00        |              137557.00   
           1024         |       0.08       |              0.01        |            13414.40        |              157208.00   
           1024         |       0.08       |              0.01        |            13516.80        |              179666.28   
           1024         |       0.07       |              0.00        |            13619.20        |              205332.89   
           1024         |       0.07       |              0.00        |            13721.60        |              234666.16   
           1024         |       0.07       |              0.00        |            13824.00        |              268189.90   
           1024         |       0.07       |              0.00        |            13926.40        |              306502.74   
           1024         |       0.07       |              0.00        |            14028.80        |              350288.85   
           1024         |       0.07       |              0.00        |            14131.20        |              400330.11   
           1024         |       0.07       |              0.00        |            14233.60        |              457520.13   
